"County","Sector","2020","Total Usage"
"SONOMA","Non-Residential","      35.766224","      35.766224"
"SONOMA","Residential","      69.190815","      69.190815"
"SONOMA","Total","     104.957039","     104.957039"
"STANISLAUS","Non-Residential","     136.002038","     136.002038"
"STANISLAUS","Residential","      62.617162","      62.617162"
"STANISLAUS","Total","     198.619200","     198.619200"
"SUTTER","Non-Residential","       9.994813","       9.994813"
"SUTTER","Residential","      12.002404","      12.002404"
"SUTTER","Total","      21.997217","      21.997217"
"TEHAMA","Non-Residential","       6.312885","       6.312885"
"TEHAMA","Residential","       3.747439","       3.747439"
"TEHAMA","Total","      10.060324","      10.060324"
"TRINITY","Non-Residential","       0.031015","       0.031015"
"TRINITY","Residential","       0.014345","       0.014345"
"TRINITY","Total","       0.045360","       0.045360"
"TULARE","Non-Residential","     106.189869","     106.189869"
"TULARE","Residential","      53.273440","      53.273440"
"TULARE","Total","     159.463309","     159.463309"
"VENTURA","Non-Residential","      65.393810","      65.393810"
"VENTURA","Residential","     114.785920","     114.785920"
"VENTURA","Total","     180.179730","     180.179730"
"YOLO","Non-Residential","      35.439167","      35.439167"
"YOLO","Residential","      25.117667","      25.117667"
"YOLO","Total","      60.556834","      60.556834"
"YUBA","Non-Residential","       3.465475","       3.465475"
"YUBA","Residential","       7.177800","       7.177800"
"YUBA","Total","      10.643275","      10.643275"
